id,place_name,category_name,category_group_code,category_group_name,phone,address_name,road_address_name,x,y,place_url,distance
2021289992,청담동샤브 창동씨드큐브점,음식점 > 샤브샤브,FD6,음식점,,서울 도봉구 창동 1-28,서울 도봉구 마들로13길 61,127.049876870124,37.6541845131677,http://place.map.kakao.com/2021289992,3
526954119,도담솥밥,음식점 > 한식,FD6,음식점,02-6077-8885,서울 도봉구 창동 1-28,서울 도봉구 마들로13길 61,127.04965821673,37.6542747036618,http://place.map.kakao.com/526954119,18
1430861740,거궁 창동점,음식점 > 한식 > 한정식,FD6,음식점,02-6077-8989,서울 도봉구 창동 1-28,서울 도봉구 마들로13길 61,127.04977048180812,37.65438727915304,http://place.map.kakao.com/1430861740,23
1424865971,써브웨이 창동역점,음식점 > 패스트푸드 > 샌드위치 > 써브웨이,FD6,음식점,02-6958-7081,서울 도봉구 창동 1-28,서울 도봉구 마들로13길 61,127.05009454107822,37.65431956830442,http://place.map.kakao.com/1424865971,27
1930915599,송추가마골 인어반 창동점,"음식점 > 한식 > 육류,고기 > 갈비 > 송추가마골",FD6,음식점,02-6221-3100,서울 도봉구 창동 1-28,서울 도봉구 마들로13길 61,127.05019070813,37.6540852719929,http://place.map.kakao.com/1930915599,33
2086165778,유엑스플러스푸드,음식점 > 구내식당,FD6,음식점,,서울 도봉구 창동 1-28,서울 도봉구 마들로13길 61,127.049925837294,37.654540380514,http://place.map.kakao.com/2086165778,40
524535584,오스시,"음식점 > 일식 > 초밥,롤",FD6,음식점,,서울 도봉구 창동 1-28,서울 도봉구 마들로13길 61,127.049925837294,37.654540380514,http://place.map.kakao.com/524535584,40
413134330,감탄계숯불치킨 창동씨드큐브점,음식점 > 치킨,FD6,음식점,02-6077-8998,서울 도봉구 창동 1-28,서울 도봉구 마들로13길 61,127.049925837294,37.654540380514,http://place.map.kakao.com/413134330,40
584111730,애슐리퀸즈 창동씨드큐브점,음식점 > 패밀리레스토랑 > 애슐리,FD6,음식점,070-5150-4857,서울 도봉구 창동 1-28,서울 도봉구 마들로13길 61,127.049925837294,37.654540380514,http://place.map.kakao.com/584111730,40
1327908252,KFC 창동역점,음식점 > 패스트푸드 > KFC,FD6,음식점,02-6224-9894,서울 도봉구 창동 1-28,서울 도봉구 마들로13길 61,127.04985675089654,37.65460167653494,http://place.map.kakao.com/1327908252,46
10203282,김밥나라 창동점,음식점 > 분식,FD6,음식점,02-900-3855,서울 도봉구 창동 13-2,서울 도봉구 마들로11길 57,127.0501733811305,37.65359694684533,http://place.map.kakao.com/10203282,71
13561960,배스킨라빈스 창동역1점,음식점 > 간식 > 아이스크림 > 배스킨라빈스,FD6,음식점,02-999-1131,서울 도봉구 창동 13,서울 도봉구 마들로11길 65,127.049680357926,37.6534890376058,http://place.map.kakao.com/13561960,77
2059632770,역전우동0410 창동역점,"음식점 > 일식 > 돈까스,우동 > 역전우동0410",FD6,음식점,02-999-0410,서울 도봉구 창동 13-2,서울 도봉구 마들로11길 57,127.050165377062,37.6534906343142,http://place.map.kakao.com/2059632770,81
1104634654,왕차이 2호점,음식점 > 중식 > 중국요리,FD6,음식점,02-999-3525,서울 도봉구 창동 13-2,서울 도봉구 마들로11길 57,127.050165376455,37.6534897333319,http://place.map.kakao.com/1104634654,82
1016368898,창고을만두,음식점 > 분식,FD6,음식점,02-903-0189,서울 도봉구 창동 13,서울 도봉구 마들로11길 65,127.049684859588,37.6534421846169,http://place.map.kakao.com/1016368898,83
75792570,꽈백최선생 본점,음식점 > 분식,FD6,음식점,02-907-4377,서울 도봉구 창동 13,서울 도봉구 마들로11길 65,127.04966784450359,37.653416964265375,http://place.map.kakao.com/75792570,86
16906534,베를린호프,음식점 > 술집,FD6,음식점,02-990-0038,서울 도봉구 창동 13,서울 도봉구 마들로11길 65,127.049666711286,37.6534169647474,http://place.map.kakao.com/16906534,86
1011394258,생활맥주 창동역점,"음식점 > 술집 > 호프,요리주점 > 생활맥주",FD6,음식점,02-996-3330,서울 도봉구 창동 13,서울 도봉구 마들로11길 65,127.049712018397,37.6533845102911,http://place.map.kakao.com/1011394258,89
21411003,생생돈까스 하나로창동점,"음식점 > 일식 > 돈까스,우동",FD6,음식점,,서울 도봉구 창동 1-10,서울 도봉구 마들로11길 20,127.050537985321,37.6548365430496,http://place.map.kakao.com/21411003,95
